id,bin,area_km2,harbors,overlaps,kcal_all,kcal_cerleg,kcal_bantub,kcal_density,pop_1500,cities_1500,pop_1700,cities_1700,pop_1800,cities_1800,origin_lon,origin_lat,rf_pred_1800,rf_resid_1800
PR-147,0_0_0,240,0,1,68170201088,68170201088,54043011072,283.9,0,0,0,0,0,0,23.72349,-3.22573,0,-0.0
PR-150,0_0_0,363,0,1,74038927360,68846804992,72548442112,203.9,0,0,0,0,0,0,23.72349,-4.84568,0,-0.1
PQ-146,0_0_0,273,0,1,36925523968,36925523968,32412038144,135.1,0,0,0,0,0,0,23.25585,-2.95574,0,-0.1
PU-148,0_0_0,8644,0,16,2585084732416,2582167116800,1959496352768,299.1,0,0,0,0,0,0,25.00454,-4.10029,2,-0.35
PS-146,0_0_0,278,0,1,44488980480,44488980480,35633967104,159.9,0,0,0,0,0,0,24.19113,-2.95574,0,-0.1
PS-144,0_0_0,162,0,1,33591863296,33591863296,29506796544,207.0,0,0,0,0,0,0,24.19113,-1.87577,0,-0.1
PR-148,0_0_0,220,0,1,47230322688,47230322688,39076196352,214.3,0,0,0,0,0,0,23.72349,-3.76571,0,-0.1
PQ-145,0_0_0,295,0,1,64700156928,64700156928,56356190208,219.1,0,0,0,0,0,0,23.25585,-2.41575,0,-0.1
PS-148,0_0_0,303,0,1,73553797120,73553797120,62786277376,242.6,0,0,0,0,0,0,24.19113,-4.03571,0,-0.08
PQ-147,1_0_0,237,0,1,97961633792,97961633792,77119723520,412.5,0,0,0,0,0,0,23.25585,-3.49572,0,-0.0
PS-147,1_0_0,264,0,1,102552555520,102552555520,77877012480,388.1,0,0,0,0,0,0,24.19113,-3.49572,0,-0.0
PQ-144,0_0_0,231,0,1,32955051008,32955051008,27634223104,142.7,0,0,0,0,0,0,23.25585,-1.87577,0,-0.1
PS-145,0_0_0,267,0,1,57931460608,57931460608,48989817856,217.4,0,0,0,0,0,0,24.19113,-2.41575,0,-0.1
PT-142,0_0_0,15840,0,29,3816087369216,3815775847936,2581314561088,240.9,0,0,0,0,0,0,24.42962,-0.56991,1,-0.21
PS-140,0_0_0,17744,0,32,4151957166080,4151645644800,2750837501888,234.0,0,0,0,0,0,0,24.13318,0.29247,1,-0.18
PP-142,1_0_0,279,0,1,103513880576,103513880576,56948253696,371.1,0,0,0,0,0,0,22.78821,-0.52581,0,-0.0
PR-141,0_0_0,17301,0,32,3980665531136,3980354009856,2655060895040,230.1,0,0,0,0,0,0,23.98945,0.00501,1,-0.18
PS-139,0_0_0,18378,0,32,4255351729664,4255040208384,2760751123960,231.5,0,0,0,0,0,0,24.23199,0.84045,1,-0.18
PN-143,0_0_0,267,0,1,77914016768,77914016768,55351058432,292.2,0,0,0,0,0,0,21.85293,-1.06579,0,-0.0
PS-141,0_0_0,16600,0,30,3852485796864,3852174275584,2580846414400,232.1,0,0,0,0,0,0,24.21402,-0.27347,1,-0.18
PN-141,0_0_0,268,0,1,71482210304,71482210304,51647219712,266.9,0,0,0,0,0,0,21.85293,0.01418,0,-0.03
PP-141,0_0_0,389,0,1,80238383104,80238383104,68032235520,206.4,0,0,0,0,0,0,22.78821,0.01418,0,-0.1
